,id,name,overall,pace,shooting,passing,dribbling,defense,physical
266,216393,youri tielemans,82,50,79,85,79,69,69
267,212188,timo werner,82,91,80,70,82,35,69
268,220502,mattia zaccagni,82,87,77,74,88,57,67
269,212523,anderson talisca,81,79,84,76,81,52,73
270,206511,maximilian arnold,81,66,79,79,78,76,75
271,200260,steven berghuis,81,77,82,82,81,40,69
272,214097,benjamin bourigeaud,81,73,77,82,81,67,76
273,235944,brais mendez,81,71,80,82,81,65,73
274,199304,danilo,81,73,67,74,74,83,78
275,226271,fabian ruiz,81,55,78,79,80,74,72
276,209297,fred,81,75,69,79,81,76,70
277,237678,ibrahima konate,81,77,34,57,68,82,82
278,221992,hirving lozano,81,93,76,72,82,41,61
279,208618,lucas vazquez,81,81,73,80,80,73,69
280,204614,mario rui,81,81,57,77,80,76,68
281,191202,nemanja matic,81,34,67,77,77,79,78
282,233064,mason mount,81,72,79,82,80,56,67
283,243576,pedro porro,81,82,73,77,81,74,77
284,157481,raul albiol,81,36,41,62,63,85,68
285,210385,rui silva,81,82,76,77,84,31,81
286,215316,geronimo rulli,81,81,78,80,81,54,80
287,204883,brice samba,81,79,81,79,83,53,79
288,225126,ellyes skhiri,81,63,73,74,76,80,76
289,236786,martin terrier,81,84,82,75,79,36,72
290,211990,odisseas vlachodimos,81,84,77,66,84,43,78
291,198717,wilfried zaha,81,90,78,72,85,37,76
292,252308,ali al musrati,81,62,66,71,71,80,84
293,230977,miguel almiron,81,87,77,75,81,56,64
294,229984,ben chilwell,81,74,60,78,78,77,73
295,233096,denzel dumfries,81,83,63,70,73,78,89
296,199915,lewis dunk,81,45,51,66,66,82,80
297,240690,nicolas gonzalez,81,87,76,73,83,45,64
298,198219,lorenzo insigne,81,80,78,81,86,36,44
299,179645,simon kjr,81,59,54,64,60,83,76
300,226226,giovani lo celso,81,70,75,83,84,68,73
301,222737,malcom,81,83,79,78,84,28,66
302,168651,ivan rakitic,81,50,79,84,78,74,70
303,244263,amir rrahmani,81,63,51,58,62,83,80
304,213331,jonathan tah,81,67,37,59,61,81,85
305,227950,yeray,81,64,49,68,65,83,76
306,255475,antony,81,83,76,74,87,46,73
307,263578,balde,81,91,48,73,78,75,64
308,239093,jonathan clauss,81,83,69,76,78,70,70
309,236276,arnaut danjuma,81,86,81,76,83,44,67
310,243630,jonathan david,81,82,81,71,78,34,75
311,219693,diego carlos,81,67,47,63,67,81,77
312,233731,alexander isak,81,83,81,72,84,39,72
313,192563,bernd leno,81,82,79,73,83,54,82
314,175943,dries mertens,81,76,80,80,83,40,49
315,120533,pepe,81,75,51,60,61,81,87
316,247263,edmond tapsoba,81,75,54,65,70,82,79
317,184087,toby alderweireld,81,54,61,74,67,83,79
318,251892,beto,81,86,79,59,75,25,84
319,246172,samuel chukwueze,81,89,75,74,84,36,63
320,208268,bryan cristante,81,53,73,78,75,78,82
321,200888,danilo pereira,81,50,63,70,71,80,86
322,201995,felipe anderson,81,87,78,77,85,63,73
323,216201,inaki williams,81,94,78,71,79,43,84
324,206585,kepa,81,80,78,85,84,34,78
325,201455,geoffrey kondogbia,81,69,75,76,76,81,89
326,209519,gaetan laborde,81,72,81,76,79,40,79
327,233927,lucas paqueta,81,72,77,79,84,69,76
328,205175,arkadiusz milik,81,59,83,72,78,40,74
329,189575,muniain,81,80,74,81,85,51,60
330,140233,guillermo ochoa,81,83,73,70,86,50,82
331,178005,rui patricio,81,79,80,77,79,55,79
332,163587,kasper schmeichel,81,78,77,79,80,45,80
333,253306,manuel ugarte,81,72,64,73,77,77,80
334,215333,duvan zapata,81,75,80,63,77,35,85
335,208920,nathan ake,81,75,53,72,74,82,77
336,235844,edson alvarez,81,68,58,68,70,82,87
337,228881,davide calabria,81,79,57,71,77,79,73
338,178213,etienne capoue,81,50,75,78,75,79,78
339,197655,sebastian coates,81,66,49,55,62,82,88
340,190941,lukas hradecky,81,83,77,65,86,40,79
341,242444,joao felix,81,81,79,78,85,40,67
342,232730,daichi kamada,81,79,73,80,83,54,64
343,216354,andrej kramaric,81,72,81,76,82,32,74
344,247394,dejan kulusevski,81,76,77,80,84,56,75
345,230899,ademola lookman,81,86,81,69,85,30,67
346,192883,henrikh mkhitaryan,81,78,79,79,83,56,72
347,216409,matteo politano,81,83,77,78,84,42,55
348,236045,reinildo,81,84,55,68,75,80,79
349,216388,allan saint-maximin,81,89,73,73,88,29,68
350,244675,sancet,81,73,77,77,82,61,73
351,235173,ibrahim sangare,81,66,66,74,75,81,86
352,233195,xaver schlager,81,74,70,74,78,75,80
353,207421,leandro trossard,81,81,80,78,84,30,61
354,207566,william carvalho,81,45,68,78,76,76,84
355,178086,adan,80,78,80,78,78,55,83
356,228813,aleix garcia,80,64,74,81,80,71,66
357,246191,julian alvarez,80,79,81,76,83,55,76
358,232665,mauro arambarri,80,62,65,74,76,79,78
359,260815,arnau martinez,80,79,50,72,76,76,70
360,246186,arthur cabral,80,74,79,64,76,32,80
361,224196,ramy bensebaini,80,77,70,72,77,79,79
362,201389,cristiano biraghi,80,76,69,78,77,76,75
363,231410,brahim,80,81,71,77,83,30,49
364,174543,claudio bravo,80,78,80,83,80,56,79
365,226162,emiliano buendia,80,69,74,81,83,66,71
366,241390,eljif elmas,80,75,73,76,84,66,69
367,245630,youssouf fofana,80,69,67,74,77,78,79
368,198164,jonathan viera,80,80,74,79,80,63,72
369,208104,matheus,80,82,75,81,82,45,79
370,210021,hany mukhtar,80,82,75,80,82,44,64
371,182494,fernando muslera,80,76,80,72,77,51,83
372,221087,pau lopez,80,79,79,82,82,48,80
373,231943,richarlison,80,77,79,72,82,53,78
374,202884,leonardo spinazzola,80,91,64,72,79,76,69
375,227813,oleksandr zinchenko,80,66,66,83,83,78,69
376,225201,alex berenguer,80,82,75,76,82,64,66
377,184344,leonardo bonucci,80,47,59,70,71,82,75
378,220901,david raya,80,80,78,82,82,57,80
379,235619,marcus edwards,80,85,73,71,86,33,48
380,237942,pervis estupinan,80,77,47,71,76,77,75
381,208448,emil forsberg,80,65,73,82,82,36,61
382,235997,fran beltran,80,58,56,78,77,78,66
383,239807,davide frattesi,80,79,71,78,81,68,70
384,183711,jordan henderson,80,61,73,80,77,76,78
385,201399,mauro icardi,80,67,81,69,73,40,72
386,146536,jesus navas,80,82,68,79,80,76,55
387,224309,joan jordan,80,56,76,79,77,70,75
388,236987,boubacar kamara,80,68,54,72,73,80,79
389,224031,adam marusic,80,88,66,67,74,76,82
390,210897,chancel mbemba,80,73,55,65,67,80,81
391,236804,facundo medina,80,71,36,69,70,80,78
392,255565,kaoru mitoma,80,84,73,74,85,57,65
393,223710,vedat muriqi,80,55,82,63,73,29,82
394,223273,mario pasalic,80,73,78,76,80,67,77
395,238896,pepe,80,86,68,71,83,62,60
396,226491,kieran tierney,80,80,60,75,78,76,75
397,219789,hamari traore,80,82,57,72,76,75,78
398,169416,carlos vela,80,77,79,77,82,29,63
399,181291,georginio wijnaldum,80,68,72,77,80,77,74
400,248148,zubimendi,80,64,65,74,75,78,71
401,224158,sofyan amrabat,80,68,71,77,79,74,80
402,188567,pierre-emerick aubameyang,80,83,81,72,77,35,64
403,256079,moises caicedo,80,74,63,72,77,77,74
404,189271,francis coquelin,80,67,68,78,79,78,79
405,237985,kevin danso,80,78,32,55,62,79,85
406,234574,diogo dalot,80,81,61,76,78,75,79
407,227290,marko dmitrovic,80,78,79,79,80,37,81
408,204234,edgar badia,80,79,78,77,80,44,79
409,205431,niclas fullkrug,80,62,83,70,74,40,78
410,256903,goncalo ramos,80,77,78,65,77,47,82
411,247103,david hancko,80,79,64,72,74,80,81
412,247257,ibanez,80,85,32,45,60,82,81
413,197781,isco,80,62,72,80,83,59,56
414,240679,teun koopmeiners,80,68,75,80,76,76,77
415,237681,takefusa kubo,80,84,75,76,83,40,60
416,243593,armand lauriente,80,84,76,75,82,35,47
417,221660,victor lindelof,80,59,51,73,72,81,76
418,197061,joel matip,80,61,46,67,70,81,77
419,205632,lucas ocampos,80,79,80,77,81,62,83
420,223550,jonas omlin,80,80,77,76,82,52,78
421,199576,oriol romeu,80,43,54,69,67,79,82
422,231521,exequiel palacios,80,64,74,77,79,79,73
423,187598,rafael toloi,80,67,52,59,65,82,82
424,202651,suso,80,72,76,80,83,32,51
425,222028,julian weigl,80,56,64,77,76,76,74
426,233738,zubeldia,80,72,63,74,73,80,81
427,217036,alex moreno,80,87,69,73,77,76,70
428,228941,andre silva,80,74,80,70,81,46,77
429,226221,aritz elustondo,80,64,39,64,61,80,77
430,138956,giorgio chiellini,80,64,46,60,58,81,82
431,193082,juan cuadrado,80,88,73,78,84,74,68
432,184392,matteo darmian,80,71,59,73,76,83,71
433,236632,david neres,80,86,75,75,86,43,64
434,223952,david soria,80,80,79,73,82,43,79
435,190149,de marcos,80,79,64,75,75,77,79
436,208461,marten de roon,80,69,70,71,72,82,83
437,232487,wataru endo,80,67,68,73,80,79,75
438,262621,giorgi mamardashvili,80,80,79,75,82,48,80
439,211300,anthony martial,80,80,78,73,84,35,66
440,176550,david ospina,80,81,75,79,82,53,80
441,208421,saul,80,69,76,76,78,77,75
442,211256,nicolas tagliafico,80,79,56,72,75,78,80
443,201519,jordan veretout,80,74,75,78,79,76,80
444,229880,aaron wan-bissaka,80,83,50,68,77,77,71
445,231936,benjamin white,80,72,30,70,74,82,77
446,231352,tammy abraham,80,81,76,66,77,36,80
447,251852,karim adeyemi,80,96,77,71,81,34,68
448,184200,marko arnautovic,80,74,79,78,79,44,80
449,228520,ezequiel avila,80,78,81,65,78,45,85
450,234742,harvey barnes,80,85,77,75,81,43,69
451,193698,oliver baumann,80,80,80,76,79,39,78
452,202477,deulofeu,80,90,79,76,86,30,67
453,234569,florentino,80,58,47,67,73,79,78
454,237221,juan foyth,80,71,46,71,72,81,77
455,193198,nemanja gudelj,80,55,73,78,70,79,85
456,170368,erik lamela,80,79,77,78,83,54,69
457,236355,luiz felipe,80,72,29,61,68,81,74
458,173426,simon mignolet,80,79,75,74,83,51,83
459,227890,nuno santos,80,83,81,76,80,67,69
460,223874,valentin rongier,80,68,65,75,78,76,80
461,204923,marcel sabitzer,80,69,81,80,80,72,75
462,205686,teji savanier,80,62,75,83,82,68,70
463,199564,sergi roberto,80,74,63,79,77,75,73
464,255253,vitinha,80,69,68,79,85,70,66
465,221697,ollie watkins,80,84,79,68,76,46,75
466,238067,nicolo zaniolo,80,83,78,72,81,51,86
467,208670,hakim ziyech,80,74,75,83,81,50,64
468,230021,joseph aidoo,79,75,27,47,50,78,88
469,219733,ludovic ajorque,79,58,79,63,70,46,87
470,216447,alvaro garcia,79,91,69,73,79,51,44
471,191740,ander herrera,79,60,71,77,78,79,74
472,229906,leon bailey,79,90,77,73,82,33,62
473,236480,yves bissouma,79,72,67,74,77,77,76
474,234153,carlos soler,79,77,76,80,79,70,72
475,252154,marco carnesecchi,79,80,76,72,84,30,79
476,227174,matty cash,79,80,66,71,75,74,75
477,222509,dani ceballos,79,63,71,78,82,70,67
478,212138,przemysaw frankowski,79,91,72,75,76,69,74
479,240753,amine gouiri,79,76,81,76,80,45,71
480,236496,matteo guendouzi,79,74,69,78,78,74,81
481,233306,dean henderson,79,80,78,77,81,55,75
482,235374,manuel lazzari,79,92,62,76,82,70,66
483,231366,philipp lienhart,79,70,28,59,63,81,76
484,203263,harry maguire,79,46,57,67,65,78,82
485,167959,marcelo grohe,79,77,75,66,85,39,78
486,237238,scott mctominay,79,59,74,72,73,77,84
487,215716,aleksandar mitrovic,79,63,79,61,70,27,88
488,226790,wilfred ndidi,79,66,60,65,67,82,80
489,198009,mattia perin,79,79,79,71,81,57,79
490,238717,ethan pinnock,79,70,37,57,62,80,82
491,253002,giacomo raspadori,79,81,78,68,81,27,59
492,234468,emanuel reynoso,79,65,67,78,80,59,67
493,201269,frederik rnnow,79,79,80,69,79,47,80
494,241854,perr schuurs,79,72,64,74,69,81,75
495,190745,marco silvestri,79,81,77,60,83,59,80
496,199813,gernot trauner,79,63,57,67,67,80,86
497,172871,jan vertonghen,79,65,61,72,66,81,78
498,220651,angelino,79,71,71,81,82,74,68
499,242187,christoph baumgartner,79,75,73,74,81,45,59
500,225953,steven bergwijn,79,83,77,74,81,42,71
501,248266,sacha boey,79,86,55,65,75,76,84
502,189125,giacomo bonaventura,79,69,78,80,80,70,67
503,198032,dan burn,79,51,34,67,64,80,85
504,193476,remy cabella,79,76,73,77,81,40,54
505,258648,carlos augusto,79,79,70,76,79,76,80
506,239770,nicolo casale,79,77,53,66,69,80,79
507,179813,edinson cavani,79,59,82,68,72,51,72
508,239231,cucurella,79,75,68,77,79,75,74
509,193283,thomas delaney,79,68,71,73,72,80,80
510,247500,edgar,79,65,49,65,63,82,79
511,164835,ukasz fabianski,79,78,80,68,78,49,79
512,248695,wesley fofana,79,73,37,55,66,81,77
513,225663,alexandr golovin,79,76,72,78,82,60,66
514,223697,robin gosens,79,78,74,73,75,76,79
515,199439,michael gregoritsch,79,59,79,71,72,42,76
516,245155,mohammed kudus,79,90,74,71,84,59,75
517,244261,lovro majer,79,66,73,81,83,60,67
518,198141,marc bartra,79,71,61,72,72,79,77
519,212419,tyrone mings,79,71,44,67,66,78,83
520,199110,luis muriel,79,88,80,73,85,27,68
521,214979,juan musso,79,79,77,73,82,44,81
522,256516,nico williams,79,93,73,72,83,33,60
523,189505,pedro,79,70,74,76,86,36,50
524,181458,ivan perisic,79,71,78,80,79,73,75
525,235008,lucas robertone,79,84,77,77,80,72,73
526,251805,jurrien timber,79,78,47,67,77,80,80
527,219683,corentin tolisso,79,58,78,77,77,77,74
528,205600,samuel umtiti,79,62,62,68,65,80,75
529,259377,yeremy pino,79,76,73,76,79,38,46
530,229261,denis zakaria,79,80,63,72,76,78,84
531,215270,lucas zelarayan,79,71,77,78,82,46,65
532,244749,nayef aguerd,79,71,50,64,64,81,75
533,245371,thiago almada,79,86,74,75,83,51,62
534,228413,emil audero,79,80,74,73,83,53,76
535,231913,fredrik aursnes,79,76,66,78,79,74,80
