,id,name,overall,pace,shooting,passing,dribbling,defense,physical,player_positions,club_position,value_eur,wage_eur,club_name,preferred_foot,player_tags,player_traits
27,231478,lautaro martinez,87,80,86,71,85,48,85,ST,LS,107000000.0,150000.0,Inter,Right,#Acrobat,"Technical, Flair, Trivela"
28,222665,martin degaard,87,72,81,88,87,61,64,"CAM, CM",RCM,109000000.0,170000.0,Arsenal,Left,"#Dribbler, #Playmaker, #Complete midfielder","Pinged Pass +, Incisive Pass, Whipped Cross, Technical, Flair, First Touch, Trivela"
29,215698,mike maignan,87,85,82,87,89,51,85,GK,GK,73000000.0,90000.0,Milan,Right,,Far Throw
30,207865,marquinhos,87,78,56,75,74,89,80,CB,RCB,73500000.0,140000.0,Paris Saint Germain,Right,"#Tackling, #Tactician ","Intercept +, Power Header, Jockey, Anticipate, Aerial"
31,235073,gregor kobel,87,86,84,74,89,44,85,GK,GK,81500000.0,64000.0,Borussia Dortmund,Right,,"Far Throw, Footwork"
32,200104,heung min son,87,87,88,80,84,42,70,LW,LW,77000000.0,170000.0,Tottenham Hotspur,Right,"#Distance shooter, #Clinical finisher","Finesse Shot +, Rapid, Quick Step"
33,230621,gianluigi donnarumma,87,90,82,79,89,52,83,GK,GK,85000000.0,90000.0,Paris Saint Germain,Right,,
34,167495,manuel neuer,87,84,85,90,84,49,88,GK,SUB,9000000.0,55000.0,FC Bayern München,Right,,Far Throw
35,231443,ousmane dembele,86,93,77,81,87,36,57,"RW, LW",RW,80000000.0,150000.0,Paris Saint Germain,Left,"#Speedster, #Dribbler, #Crosser, #Acrobat","Rapid +, Flair, Trickster, Quick Step"
36,246669,bukayo saka,86,85,81,79,87,60,70,"RW, RM",RW,99000000.0,150000.0,Arsenal,Left,#Dribbler,"Technical, Flair"
37,252371,jude bellingham,86,76,75,79,85,78,82,"CM, CAM",CAM,100500000.0,175000.0,Real Madrid,Right,"#Dribbler, #Engine","Relentless +, Intercept, Slide Tackle, Technical, Flair"
38,241721,rafael leao,86,93,80,75,87,27,76,"LW, CF, ST",LW,102500000.0,110000.0,Milan,Right,"#Speedster, #Dribbler","Rapid +, Finesse Shot, Whipped Cross, Flair, Trickster, Quick Step"
39,251854,pedri,86,78,69,82,88,70,74,CM,SUB,105000000.0,165000.0,FC Barcelona,Right,"#Dribbler, #Playmaker, #Engine, #Acrobat, #Complete midfielder","Tiki Taka +, Pinged Pass, Long Ball Pass, Technical, First Touch, Relentless"
40,235243,matthijs de ligt,86,66,61,64,68,85,86,CB,RCB,83000000.0,84000.0,FC Bayern München,Right,#Strength,"Slide Tackle +, Power Shot, Long Ball Pass, Block, Bruiser"
41,241096,sandro tonali,86,84,74,81,81,82,84,"CDM, CM",RCM,84000000.0,140000.0,Newcastle United,Right,,"Long Ball Pass, Slide Tackle, Relentless"
42,204485,riyad mahrez,86,79,81,81,89,38,60,"RM, RW",RM,54000000.0,72000.0,Al Ahli Jeddah,Left,"#Dribbler, #Acrobat","First Touch +, Finesse Shot, Technical, Flair"
43,256790,jamal musiala,86,85,75,76,91,63,61,"CAM, CM, LM",CAM,134500000.0,79000.0,FC Bayern München,Right,"#Dribbler, #Acrobat","Technical +, Flair, First Touch, Trickster"
44,224232,nicolo barella,86,78,78,82,85,78,80,CM,RCM,83500000.0,135000.0,Inter,Right,"#Engine, #Acrobat","Relentless +, Tiki Taka, Slide Tackle"
45,253163,ronald araujo,86,79,51,65,62,86,84,"CB, RB",SUB,93000000.0,175000.0,FC Barcelona,Right,#Tackling ,"Block +, Power Header, Jockey, Anticipate, Slide Tackle, Acrobatic"
46,211110,paulo dybala,86,80,85,85,90,40,60,"CF, CAM",RS,68000000.0,130000.0,Roma,Left,"#Dribbler, #Playmaker, #FK Specialist, #Complete midfielder","Flair +, Finesse Shot, Dead Ball, Technical, First Touch, Trivela, Acrobatic"
47,186942,ilkay gundogan,86,62,81,84,86,72,73,"CM, CDM",RCM,53500000.0,220000.0,FC Barcelona,Right,"#Dribbler, #Playmaker, #Complete midfielder","Pinged Pass, Press Proven"
48,223848,sergej milinkovic-savic,86,68,80,82,82,79,86,CM,CAM,68000000.0,84000.0,Al Hilal,Right,#Strength,"Power Header, Pinged Pass, First Touch, Relentless, Trivela, Aerial"
49,247635,khvicha kvaratskhelia,86,84,80,81,87,41,71,"LW, RW",LW,109000000.0,95000.0,Napoli,Right,#Dribbler,"Finesse Shot, Pinged Pass, Whipped Cross, Technical, Flair, Trickster, Trivela"
50,216267,andrew robertson,86,80,61,82,81,81,77,LB,LB,59500000.0,170000.0,Liverpool,Left,"#Engine, #Crosser","Relentless +, Whipped Cross, Rapid"
51,189513,parejo,86,49,83,90,80,73,69,"CM, CDM",CDM,31500000.0,64000.0,Villarreal,Right,"#Playmaker, #Crosser, #FK Specialist, #Complete midfielder","Long Ball Pass +, Dead Ball, Incisive Pass, Press Proven"
52,208722,sadio mane,86,85,83,79,87,44,74,"CF, LM, ST",LM,57500000.0,87000.0,Al Nassr,Right,"#Poacher, #Dribbler, #Acrobat, #Complete forward","Rapid, Flair"
53,182521,toni kroos,86,51,80,90,81,70,71,"CM, CDM",SUB,42000000.0,240000.0,Real Madrid,Right,"#Playmaker, #Distance shooter, #Crosser, #Complete midfielder","Long Ball Pass +, Dead Ball, Pinged Pass, Whipped Cross, Intercept, Press Proven"
54,240130,eder militao,86,85,50,69,71,86,82,CB,SUB,80000000.0,210000.0,Real Madrid,Right,"#Tackling, #Tactician ","Power Header, Long Ball Pass, Block, Intercept, Aerial"
55,232411,christopher nkunku,86,82,81,83,88,62,67,"CF, CAM, ST",RES,86500000.0,185000.0,Chelsea,Right,"#Dribbler, #Acrobat","Finesse Shot, Pinged Pass, Technical, Flair, First Touch, Trivela"
56,215914,n'golo kante,86,69,65,73,80,85,77,"CDM, CM",RDM,45000000.0,73000.0,Al Ittihad,Right,"#Tackling, #Tactician ","Intercept +, Relentless"
57,210514,joao cancelo,86,81,73,85,84,80,72,"LB, RB",RB,59500000.0,195000.0,FC Barcelona,Right,#Crosser,"Whipped Cross, Block, Technical, Flair, First Touch, Trivela"
58,20801,cristiano ronaldo,86,77,88,75,80,34,74,ST,ST,23000000.0,66000.0,Al Nassr,Right,"#Distance shooter, #Clinical finisher","Power Shot +, Power Header, Flair, Trivela, Acrobatic, Aerial"
59,231281,trent alexander-arnold,86,76,69,90,79,80,73,RB,RB,81000000.0,140000.0,Liverpool,Right,#Crosser,"Long Ball Pass +, Dead Ball, Whipped Cross"
60,186153,wojciech szczesny,86,86,83,73,87,49,86,GK,GK,22000000.0,125000.0,Juventus,Right,,Far Throw
61,206517,jack grealish,85,76,76,84,88,53,73,"LW, LM",LW,57500000.0,200000.0,Manchester City,Right,#Dribbler,"Press Proven +, Finesse Shot, Flair, First Touch"
62,237383,alessandro bastoni,85,73,35,72,73,86,83,CB,LCB,73500000.0,95000.0,Inter,Left,#Tactician ,"Incisive Pass, Long Ball Pass, Jockey"
63,213345,kingsley coman,85,89,76,79,87,30,62,"LM, RM",LM,57500000.0,100000.0,FC Bayern München,Right,"#Dribbler, #Acrobat","Rapid, Flair, First Touch, Quick Step, Acrobatic"
64,217870,giovanni di lorenzo,85,85,67,75,79,82,82,RB,RB,47500000.0,86000.0,Napoli,Right,,"Rapid, First Touch, Relentless"
65,209658,leon goretzka,85,78,81,81,83,80,86,"CM, CDM",SUB,54000000.0,100000.0,FC Bayern München,Right,,"Power Shot, Intercept, Bruiser, Aerial"
66,212218,aymeric laporte,85,61,50,73,69,86,78,CB,LCB,49500000.0,70000.0,Al Nassr,Left,"#Tackling, #Tactician ",Long Ball Pass
67,203574,john stones,85,72,52,75,77,85,77,"CB, RB",RCB,49500000.0,180000.0,Manchester City,Right,,Long Throw
68,188943,kevin trapp,85,83,81,77,86,46,85,GK,GK,26500000.0,51000.0,Eintracht Frankfurt,Right,,Footwork
69,186345,kieran trippier,85,68,65,86,79,82,72,RB,RB,37500000.0,150000.0,Newcastle United,Right,"#Crosser, #FK Specialist","Whipped Cross +, Dead Ball, Long Throw"
70,208128,hakan calhanoglu,85,67,80,86,85,70,66,"CM, CDM",CDM,52500000.0,130000.0,Inter,Right,#Playmaker ,"Long Ball Pass, Trivela"
71,224458,diogo jota,85,82,82,75,85,57,77,"CF, LW",SUB,67500000.0,180000.0,Liverpool,Right,#Acrobat,"Power Header, Rapid, Relentless"
72,256630,florian wirtz,85,74,76,83,87,52,63,"CAM, CM",LF,83500000.0,65000.0,Bayer 04 Leverkusen,Right,"#Dribbler, #Playmaker, #Acrobat, #Complete midfielder","Chip Shot, Pinged Pass, Technical, Flair, First Touch, Trivela"
73,209981,yassine bounou,85,82,83,79,87,38,84,GK,GK,26500000.0,54000.0,Al Hilal,Left,,"Far Throw, Footwork"
74,192629,iago aspas,85,81,85,79,86,35,64,ST,RS,23000000.0,38000.0,Celta de Vigo,Left,"#Acrobat, #Clinical finisher","Chip Shot +, Finesse Shot, Dead Ball, Pinged Pass, Trivela"
75,241486,jules kounde,85,84,45,68,75,86,80,"CB, RB",RCB,69500000.0,160000.0,FC Barcelona,Right,#Tactician ,"Jockey +, Slide Tackle, Quick Step, Relentless"
76,193041,keylor navas,85,84,80,75,87,54,84,GK,SUB,6000000.0,60000.0,Paris Saint Germain,Right,,Far Throw
77,205452,antonio rudiger,85,82,54,71,66,84,86,CB,RCB,44000000.0,200000.0,Real Madrid,Right,#Strength,"Aerial +, Block"
78,201535,raphael varane,85,79,49,64,67,86,78,CB,RES,44000000.0,160000.0,Manchester United,Right,,"Anticipate +, Aerial"
79,224334,marcos acuna,85,75,74,83,83,81,84,"LB, LM",LB,39000000.0,46000.0,Sevilla,Left,"#Engine, #Crosser","Power Shot, Long Ball Pass, Anticipate, Bruiser, Flair, Relentless, Trivela"
80,197445,david alaba,85,79,71,83,80,85,77,"CB, LB",LCB,37000000.0,200000.0,Real Madrid,Left,#Tactician ,"Dead Ball, Anticipate"
81,237692,phil foden,85,81,79,82,88,57,60,"LW, RW",RW,81500000.0,180000.0,Manchester City,Left,"#Dribbler, #Acrobat","Technical, Flair, First Touch"
82,202811,emiliano martinez,85,83,83,82,85,58,84,GK,GK,36000000.0,100000.0,Aston Villa,Right,,Far Throw
83,226753,andre onana,85,83,80,88,85,61,84,GK,GK,46000000.0,130000.0,Manchester United,Right,,Footwork
84,243812,rodrygo,85,88,81,79,86,31,62,"RW, LW, ST",RS,86500000.0,210000.0,Real Madrid,Right,"#Dribbler, #Acrobat","Dead Ball, Technical, Flair"
85,210935,domenico berardi,85,82,83,81,87,36,72,"RW, RM",RW,54500000.0,40000.0,Sassuolo,Left,"#Dribbler, #Acrobat","Dead Ball, Whipped Cross, Technical, Flair, Trivela"
86,232656,theo hernandez,85,93,71,76,81,78,84,"LB, LM",LB,73500000.0,90000.0,Milan,Left,#Speedster,"Rapid, Quick Step, Relentless, Long Throw"
87,192387,ciro immobile,85,85,87,68,78,39,74,ST,ST,34500000.0,90000.0,Lazio,Right,#Clinical finisher,Power Shot
88,209989,thomas partey,85,68,71,82,80,81,82,"CDM, CM",SUB,45000000.0,150000.0,Arsenal,Right,,"Incisive Pass, Long Ball Pass, Press Proven"
89,231677,marcus rashford,85,90,86,78,84,42,74,"LW, LM, ST",LW,71500000.0,185000.0,Manchester United,Right,"#Dribbler, #Clinical finisher, #Complete forward","Power Shot +, Technical, Flair, Quick Step"
90,234378,declan rice,85,71,65,75,77,83,83,"CDM, CM",CDM,63000000.0,130000.0,Arsenal,Right,#Tactician ,"Long Ball Pass, Block, Intercept, Press Proven"
91,239580,bremer,84,80,50,56,65,85,83,CB,CB,49000000.0,135000.0,Juventus,Right,,"Power Header, Block, Bruiser, Aerial"
92,241852,moussa diaby,84,95,73,75,86,42,59,"RM, LM",RS,60500000.0,105000.0,Aston Villa,Left,"#Speedster, #Dribbler, #Acrobat","Quick Step +, Rapid, First Touch"
93,251566,gabriel martinelli,84,89,78,76,86,46,72,"LW, LM",LW,61500000.0,145000.0,Arsenal,Right,"#Dribbler, #Acrobat","Finesse Shot, Technical, Flair, Quick Step, Trivela"
94,207862,matthias ginter,84,60,59,71,66,85,80,CB,LCB,35500000.0,47000.0,SC Freiburg,Right,#Tactician ,"Long Ball Pass, Intercept, Anticipate"
95,210035,grimaldo,84,87,69,83,84,76,72,"LWB, LM",LM,40500000.0,74000.0,Bayer 04 Leverkusen,Left,,"Dead Ball, Whipped Cross, Anticipate"
96,216435,stanislav lobotka,84,71,70,81,83,77,75,"CM, CDM",CDM,42000000.0,86000.0,Napoli,Right,,"Anticipate, First Touch, Relentless"
97,226161,marcos llorente,84,89,78,79,80,78,81,"RM, CM, RB",SUB,42500000.0,85000.0,Atlético Madrid,Right,,"Power Shot, Whipped Cross, Rapid, Quick Step, Relentless"
98,233934,aaron ramsdale,84,84,79,87,86,48,81,GK,GK,43000000.0,105000.0,Arsenal,Right,,
99,226754,ismael bennacer,84,80,72,81,86,79,78,"CDM, CM, CAM",SUB,53500000.0,84000.0,Milan,Left,"#Dribbler, #Acrobat",Pinged Pass
100,212194,julian brandt,84,71,80,84,86,51,70,"CAM, RM, CM",LCM,48500000.0,72000.0,Borussia Dortmund,Right,"#Dribbler, #Playmaker, #Complete midfielder","Tiki Taka +, Finesse Shot, Pinged Pass, Technical, Flair, First Touch, Trivela"
101,209499,fabinho,84,59,69,78,77,82,82,CDM,LDM,36000000.0,65000.0,Al Ittihad,Right,,"Power Shot, Long Ball Pass, Block, Slide Tackle, Bruiser"
102,213648,pierre-emile hjbjerg,84,55,73,78,78,81,82,"CDM, CM",SUB,43000000.0,110000.0,Tottenham Hotspur,Right,#Engine,"Intercept, Relentless"
103,193747,koke,84,69,72,85,79,79,78,"CDM, CM",CDM,29500000.0,74000.0,Atlético Madrid,Right,,"Long Ball Pass, Relentless"
104,201024,kalidou koulibaly,84,76,48,63,68,84,83,CB,RCB,27500000.0,62000.0,Al Hilal,Right,#Strength,"Power Header, Block, Bruiser"
105,192505,romelu lukaku,84,80,84,74,77,38,82,ST,SUB,41500000.0,165000.0,Roma,Left,"#Poacher, #Strength, #Complete forward","Power Shot, Power Header, Press Proven"
106,189596,thomas muller,84,59,82,83,79,55,69,"CAM, CF, ST",SUB,26500000.0,90000.0,FC Bayern München,Right,,"Pinged Pass, Trivela"
107,233419,raphinha,84,91,79,78,86,53,73,RW,RW,49500000.0,210000.0,FC Barcelona,Left,"#Speedster, #Dribbler, #Engine, #Acrobat","Power Shot, Rapid, Flair, Trickster, Quick Step, Relentless"
108,232363,milan skriniar,84,78,41,57,67,86,83,CB,LCB,36500000.0,110000.0,Paris Saint Germain,Right,,"Jockey, Bruiser"
109,232756,fikayo tomori,84,86,40,59,66,86,82,CB,LCB,52500000.0,84000.0,Milan,Right,,Block
110,202556,memphis depay,84,82,82,81,85,30,80,"CF, LW, ST",SUB,42000000.0,90000.0,Atlético Madrid,Right,#Dribbler,"Technical, Flair, First Touch, Trivela"
111,230666,gabriel jesus,84,83,82,75,88,40,77,"ST, RW",SUB,50500000.0,165000.0,Arsenal,Right,"#Dribbler, #Acrobat","Technical, Flair, First Touch, Relentless"
112,206113,serge gnabry,84,81,84,78,84,43,68,"RM, ST, LM",SUB,45000000.0,90000.0,FC Bayern München,Right,#Acrobat,Technical
113,185122,peter gulacsi,84,85,84,76,84,43,83,GK,GK,13500000.0,60000.0,RB Leipzig,Right,,
114,238074,reece james,84,80,72,83,82,82,81,"RB, RWB",RES,50500000.0,120000.0,Chelsea,Right,#Crosser,"Jockey +, Whipped Cross, Bruiser"
115,237679,randal kolo muani,84,91,78,73,86,38,67,"ST, RM",ST,58500000.0,110000.0,Paris Saint Germain,Right,"#Speedster, #Dribbler","Finesse Shot, Technical, Flair, Quick Step"
116,225193,mikel merino,84,72,78,82,82,83,82,"CM, CAM, LM",LCM,48000000.0,54000.0,Real Sociedad,Left,,"Power Shot, Pinged Pass, Relentless, Aerial"
117,224293,ruben neves,84,60,75,86,77,76,73,"CDM, CM",LCM,47000000.0,62000.0,Al Hilal,Right,#Playmaker ,"Power Shot, Long Ball Pass"
118,227127,alex remiro,84,84,78,80,86,42,86,GK,GK,36000000.0,43000.0,Real Sociedad,Right,,Far Throw
119,208418,yannick carrasco,84,88,81,80,85,59,66,"LW, LWB",LW,41500000.0,69000.0,Al Shabab,Right,#Acrobat,"Whipped Cross, Technical, Flair, Trivela"
120,192984,koen casteels,84,84,82,77,86,45,85,GK,GK,22500000.0,55000.0,VfL Wolfsburg,Left,,
121,235805,federico chiesa,84,91,82,76,86,53,75,"LM, LW, RW",LS,50500000.0,140000.0,Juventus,Right,"#Speedster, #Dribbler, #Acrobat","Rapid +, Finesse Shot, Flair, Quick Step, Trivela"
122,232580,gabriel,84,70,41,62,60,85,82,CB,LCB,47000000.0,130000.0,Arsenal,Left,"#Tactician, #Strength","Bruiser, Aerial"
123,220814,lucas hernandez,84,76,54,70,70,84,78,"CB, LB",LB,42500000.0,105000.0,Paris Saint Germain,Left,,"Slide Tackle, Bruiser"
124,203841,nick pope,84,82,83,75,86,49,84,GK,GK,22500000.0,110000.0,Newcastle United,Right,,Footwork
125,210008,adrien rabiot,84,78,76,80,80,82,84,"CM, LM",LCM,42000000.0,150000.0,Juventus,Left,,"Power Header, First Touch, Aerial"
126,189881,chris smalling,84,62,47,58,62,87,82,CB,CB,20000000.0,88000.0,Roma,Right,"#Aerial threat, #Tackling ","Power Header, Aerial"
127,241637,aurelien tchouameni,84,73,69,79,78,81,81,"CDM, CM",CDM,58500000.0,160000.0,Real Madrid,Right,,"Long Ball Pass, Jockey, Intercept, Anticipate, Bruiser, Relentless, Aerial"
128,189509,thiago,84,61,72,86,89,71,67,CM,SUB,33000000.0,150000.0,Liverpool,Right,"#Dribbler, #Playmaker, #Acrobat, #Complete midfielder","First Touch +, Incisive Pass, Tiki Taka, Slide Tackle, Technical, Flair, Trivela"
129,188377,kyle walker,84,90,63,77,78,79,81,RB,RB,22000000.0,155000.0,Manchester City,Right,,"Jockey, Rapid, Long Throw"
130,247851,bruno guimaraes,84,71,74,81,84,80,81,"CM, CDM",CM,55500000.0,145000.0,Newcastle United,Right,"#Playmaker, #Engine, #Complete midfielder","Pinged Pass, Long Ball Pass, Flair, Press Proven, Trivela"
131,212616,rodrigo javier de paul,84,78,77,83,82,75,83,CM,RCM,41000000.0,85000.0,Atlético Madrid,Right,,"Finesse Shot, Pinged Pass, Long Ball Pass, Technical"
132,241084,luis diaz,84,91,81,75,87,34,74,"LW, LM",LW,49500000.0,165000.0,Liverpool,Right,"#Speedster, #Dribbler, #Acrobat","Technical, Flair, Quick Step"
133,235212,achraf hakimi,84,92,75,80,80,75,78,"RB, RWB",RB,50500000.0,90000.0,Paris Saint Germain,Right,#Speedster,"Whipped Cross, Quick Step"
134,237086,kim min jae,84,80,33,58,64,85,84,CB,LCB,46000000.0,82000.0,FC Bayern München,Right,"#Tackling, #Strength","Power Header, Intercept, Slide Tackle, Aerial"
135,198706,luis alberto,84,69,77,85,84,62,58,CM,LCM,40500000.0,78000.0,Lazio,Right,#Playmaker ,"Pinged Pass +, Finesse Shot, First Touch, Trivela"
136,220697,james maddison,84,71,81,86,86,54,63,"CAM, RM, CM",LCM,49500000.0,120000.0,Tottenham Hotspur,Right,"#Dribbler, #Playmaker, #FK Specialist, #Complete midfielder","Dead Ball +, Pinged Pass, Long Ball Pass, Flair, Trivela"
137,239301,lisandro martinez,84,73,59,78,79,85,83,CB,LCB,49500000.0,140000.0,Manchester United,Left,,"Long Ball Pass, Slide Tackle, Bruiser"
138,222492,leroy sane,84,91,81,80,85,38,68,"RM, LM",RM,45000000.0,90000.0,FC Bayern München,Left,"#Speedster, #Dribbler, #Acrobat","Power Shot, Rapid, Flair, Quick Step"
139,177683,yann sommer,84,78,79,83,90,50,84,GK,GK,7000000.0,84000.0,Inter,Right,,
140,212190,niklas sule,84,73,51,68,62,85,85,"CB, RB",RCB,45000000.0,66000.0,Borussia Dortmund,Right,"#Aerial threat, #Tackling, #Strength","Slide Tackle +, Incisive Pass, Anticipate, Bruiser, Aerial"
141,164240,thiago silva,84,51,54,74,72,87,74,CB,LCB,7500000.0,100000.0,Chelsea,Right,,"Anticipate +, Power Header, Block, Acrobatic, Aerial"
142,216352,marcelo brozovic,83,66,74,81,80,80,78,"CDM, CM",CDM,30500000.0,56000.0,Al Nassr,Right,,"Long Ball Pass, Press Proven, Relentless"
143,208333,emre can,83,79,78,77,79,82,87,"CDM, CB",CDM,31000000.0,63000.0,Borussia Dortmund,Right,#Strength,"Incisive Pass, Long Ball Pass, Intercept, Slide Tackle, Bruiser, Press Proven, Aerial"
144,183898,angel di maria,83,78,78,86,89,48,67,"CF, RW, RM",RM,15500000.0,19000.0,Benfica,Left,"#Dribbler, #FK Specialist, #Acrobat","Trickster +, Finesse Shot, Chip Shot, Pinged Pass, Technical, Flair, Trivela"
145,216594,nabil fekir,83,82,81,81,86,39,80,CAM,CAM,35500000.0,40000.0,Real Betis,Left,#Dribbler,"Finesse Shot, Power Shot, Dead Ball, Technical, Flair, First Touch, Trivela"
146,229582,gianluca mancini,83,67,45,54,62,83,86,CB,RCB,38500000.0,80000.0,Roma,Right,,"Power Header, Slide Tackle, Bruiser"
147,225116,alex meret,83,83,80,72,86,44,83,GK,GK,34000000.0,56000.0,Napoli,Left,,Footwork
148,200724,nacho fernandez,83,75,37,69,71,82,80,"CB, LB, RB",SUB,17500000.0,170000.0,Real Madrid,Right,,"Block, Intercept, Aerial"
149,243715,william saliba,83,82,39,69,73,84,82,CB,RCB,53000000.0,105000.0,Arsenal,Right,#Strength,"Power Header, Jockey, Anticipate"
150,202652,raheem sterling,83,85,78,76,85,45,67,"LW, RW, ST",RM,36500000.0,155000.0,Chelsea,Right,"#Dribbler, #Acrobat","Rapid, Quick Step"
